Number,Project Name,Links,Description,Host/Recipient Country/ies,Provider Country/ies,Regions Involved,Entity/ies Supporting and/or Implementing,Is the private sector involved?,Does it involve LDCs?,UNDP as Implementor,UNDP as Donor,Start year,End year,Thematic Areas,Primary SDG Contribution,Secondary SDG Contribution
38,Curbing Child Marriage Using Technology,https://my.southsouth-galaxy.org/en/solutions/detail/curbing-child-marriage-using-technology,"In the project, it utilized a mobile phone-based system to help prevent child marriages in Bangladesh by providing young girls and their families with information, support, and referral services. The project also trained local government officials, community leaders, and religious leaders to raise awareness of the issue and advocate for change. BGD transferred its experience to Philippines. ",PHL,BGD,Asia Pacific,"Government of Bangladesh,UNDP Bangladesh,a2i",YES,YES,YES,,2018,2021,"Governance,Gender Equality",SDG5,"SDG16,SDG17"
39,ekShop: Empowering Rural Communities using Assisted E-Commerce ,https://my.southsouth-galaxy.org/en/solutions/detail/ekshop-empowering-rural-communities-using-assisted-e-commerce,This project helped rural communities in Bangladesh to participate in the digital economy by providing training and assistance in e-commerce. ekShop has crossed international borders to replicate this model. There are four operational hubs: ekShop centres in Malaysia and Singapore and full ekShop architecture operations in Turkey and Nepal. ,"MYS,NPL,TUR",BGD,"Asia Pacific,MENA","a2i,UNDP,Government of Bangladesh",YES,YES,YES,,2017,2021,Poverty and Inequality,SDG8,"SDG1,SDG5,SDG9,SDG10,SDG11,SDG17"
40,China-Cambodia Cooperation on Cassava ,https://my.southsouth-galaxy.org/en/solutions/detail/china-cambodia-undp-trilateral-cooperation-on-cassava,"This project aimed to increase the income of Cambodian cassava farmers through the transfer of knowledge and technology from China and UNDP. Cambodia learned knowledge from China, and China developed training for Cambodia as well as needs aseessment.",KHM,CHN,Asia Pacific,"Ministry of Commerce of China,Chinese Academy of Tropical and Agricultural Sciences,UNDP,Ministry of Agriculture,Forestry and Fisheries of Cambodia",,YES,,,2011,2015,Poverty and Inequality,SDG2,"SDG1,SDG17"
41,Promoting Sustainable Investment in Partner Countries: Ethiopia Pilot ,https://my.southsouth-galaxy.org/en/solutions/detail/promoting-sustainable-investment-in-partner-countries-ethiopia-pilot,"UNDP has been assisting partner countries to achieve SDG in a way that is in line with their development strategies, aims at strengthening the capacities of partner countries and establishing a network of sustainable investment promotion (SIP) facilities that can help orient investments towards comprehensive economic, social and environmental sustainability outcomes. The project aimed to attract sustainable investment to Ethiopia by creating a conducive environment and providing information on investment opportunities. With best practices and lessons learned from Ethiopia, the SIP programme can be further replicated and expanded to other partner countries. China and Ethiopia exchanged lessons and experiences","CHN,ETH","CHN,ETH","Asia Pacific,Africa","United Nations Peace and Development Trust Fund managed by the Department of Economic and Social Affairs,UNDP",YES,YES,YES,,2019,2020,"Environment,Poverty and Inequality",SDG9,"SDG1,SDG8,SDG11,SDG13,SDG16,SDG17"
43,Joint Efforts to an Innovative Programme for Persons with Disabilities: Cooperation Between GEF Small Grants Programmes in Ukraine and Belarus ,https://my.southsouth-galaxy.org/en/solutions/detail/joint-efforts-to-an-innovative-programme-for-persons-with-disabilities-cooperation-between-gef-small-grants-programmes-in-ukraine-and-belarus,"This project provided support to persons with disabilities by promoting the development of innovative programs and initiatives. Global Environment Facility (GEF) Small Grants Programme (SGP), implemented by the United Nations Development Programme (UNDP), supported a South-South exchange between local communities and civil society organizations (CSOs) from Ukraine and Belarus to find sustainable solutions to address the needs of persons with disabilities. In October 2019, the first knowledge exchange mission was carried out in Belarus for scientists, representatives of social protection departments, heads of rehabilitation centres, CSOs and SGP staff to share good practices and lessons learned during the implementation of the SGP programme. Many of the ideas and approaches shared are being replicated in Ukraine, including creating non-barrier infrastructure. The Government of Belarus, particularly local authorities, strongly support and enhance the engagement of persons with disabilities in environmental and social businesses, such as traditional bakery, pottery and beeswax goods production. In Ukraine, social business models function only in big cities and do not yet exist in rural areas. In this context, the South-South exchange enabled representatives of Ukraine to learn about good models that are applicable to remote communities. The initiative also created a network and established a community of practitioners to ensure the long-term sustainability of the impacts of the exchange. For example, participants regularly held follow-up digital workshops and peer-to-peer events.",UKR,BLR,Europe,"GEF SGP,Zelena Zhytomyrshchyna (NGO),Taras Shevchenko National University (Ukraine),UNDP",,,,,2019,2020,Governance ,SDG4,"SDG8,SDG11,SDG17"
45,Climate Box: Climate Change Education and Awareness Project,https://my.southsouth-galaxy.org/en/solutions/detail/climate-change-education-and-awareness-project,"The project aimed to enhance education and public awareness regarding climate change by creating a curriculum for students and organizing events to educate the public on the issue. The Climate Box textbook and curriculum were initially developed and piloted in Russia, and were adapted to Kazakhstan, Kyrgyzstan and Tajikistan, Armenia, Belarus, Moldova, Turkmenistan and Uzbekistan. In addition to the North-South exchanges, there is also horizontal sharing of expertise and practices between participating countries of the ECIS region. For example, representatives from the pilot Central Asian countries have co-led trainings and workshops on Climate Box in new target countries, sharing their successful experiences and lessons learned with peers. Experts from Kazakhstan and Kyrgyzstan have helped to develop a Climate Box User Guide, a monitoring and evaluation system and tools for the Climate Box programme that are being used by new countries.","ARM,BLR,MDA,TKM,SRB,UZB,KAZ,KGZ,TJK","RUS,KAZ,KGZ","Europe,Asia Pacific","UNDP-Russia Trust Fund(Government of the Russian Federation),United Nations Development Programme(UNDP) Istanbul Regional Hub for Europe and the Commonwealth of Independent States",YES,,YES,,2017,2020,Environment,SDG13,"SDG4,SDG17"
46,"Reduce Disaster Risks, Promote Country Resilience ",https://my.southsouth-galaxy.org/en/solutions/detail/integrated-disaster-risk-reduction-and-climate-change-adaptation-in-central-asia,"The project aimed to reduce the risk of natural disasters and build resilience by developing early warning systems and providing training to local communities. Knowledge-sharing between China and adjacent Central Asian States.Technical training and capacity-building were carried out through workshops, field visits, policy dialogue and other exchange initiatives to shape DRR/CCA policies.Three RCEECA sub-centres were established in Almaty, Bishkek and Dushanbe. These sub-centres serve as an important platform for scientific, technological and educational cooperation between China and Central Asian States. They play an active role in promoting cooperation and personnel training in the fields of ecological and environmental protection, the sustainable use of resources, agricultural development,  mineral resource exploration, disaster monitoring and early warning systems.Five pilot demonstration sites were upgraded or established in Central Asian States. They focused on agricultural water saving and saline soil improvement in Kazakhstan, agricultural water saving in Uzbekistan, high-production agriculture in Tajikistan, facility agriculture in Kyrgyzstan and safe drinking water in Kyrgyzstan. A risk map was developed for flooding in Kyrgyzstan and Tajikistan and drought in Kazakhstan. Approximately nine DRR technical trainings, four trainings on drones and remote sensing technology, and one training on writing scientific papers were carried out. Over 10 international seminars and workshops, as well as a high-level forum, were organized successfully. There were over 7,500 participants from over 40 countries who shared knowledge and exchanged experiences.","CHN,KAZ,KGZ,TJK,UZB",CHN,Asia Pacific,"Xinjiang Institute of Ecology and Geography of the Chinese Academy of Sciences(XIEG),Research Center for Ecology and Environment of Central Asia(RCEECA),UNDP,China International Center for Economic and Technical Exchanges(CICETE)",,YES,YES,YES,2015,2019,Resilience,SDG13,SDG17
49,Restoring Marine Ecosystem Services by Rehabilitating Coral Reefs to Meet a Changing Climate Future,https://www.adaptation-fund.org/project/restoring-marine-ecosystem-services-restoring-coral-reefs-meet-changing-climate-future-mauritius-seychelles/,"The project aimed to reduce the impact of climate change on local communities and coral reef-dependent economic sectors in Mauritius and Seychelles by carrying out coral reef restoration with heat-tolerant corals.The project also provides an opportunity for South-South exchange between the two countries.Mauritius Oceanography Institute (MOI) established a programme in 2008 to develop techniques for coral culture and small-scale reef rehabilitation. Successful implementation of this experimental phase has prompted MOI and other local partners, together with their Seychelles counterparts, to scale up the project to incorporate large-scale reef restoration in both countries. This included knowledge-sharing on coral culture techniques ","MUS,SYC","MUS,SYC",Africa,"United Nations Development Programme (UNDP) Adaptation Fund Board,Mauritius: Ministry of Blue Economy,Marine Resources,Fisheries and Shipping - Albion Fisheries Research Centre,Mauritius Oceanography Institute,EcoSud,Reef Conservation and Shoals Rodrigues,Seychelles: Ministry of Agriculture,Climate Change and Environment - Seychelles Parks and Garden Authority,Marine Conservation Society of Seychelles,Nature Seychelles",YES,,YES,YES,2020,2026,"Environment,Resilience",SDG13,"SDG17,SDG14,SDG3"
50,"Rights, Empowerment and Cohesion (REACH) for Rural and Urban Fijians Project ",https://my.southsouth-galaxy.org/en/solutions/detail/rights-empowerment-and-cohesion-for-rural-and-urban-fijians,"The project aimed to promote social cohesion and empower rural and urban Fijians by providing access to legal aid, promoting human rights, and improving governance. To address this challenge, the Rights, Empowerment and Cohesion (REACH) for Rural and Urban Fijians Project was developed with support from the Government of Japan and UNDP. Supported by a2i from Banghadesh, UNDP experts shared innovations with Fiji through South-South cooperation. Specialists from a2i innovation undertook a dedicated mission to Fiji and conducted multiple workshops. This partnership has created several opportunities for the two countries to share knowledge and resources to promote South-South cooperation and innovation in public service delivery. ",FJI,"BGD,JPN",Asia Pacific,"Government of Japan,Ministry of Women,Children and Poverty Alleviation of Fiji,Legal Aid Commission of Fiji,UNDP Pacific Office,a2i,",,YES,YES,,2015,2018,Governance,SDG16,"SDG5,SDG17"
54,Makueni Agricultural Entrepreneurship Community Centre ,https://my.southsouth-galaxy.org/en/solutions/detail/makueni-agricultural-entrepreneurship-community-centre,"This project aimed to promote agricultural entrepreneurship in Kenya by providing training and resources to small-scale farmers. The project was designed in a South-South cooperation, participatory manner by Chile Patagonia Compassion Foundation together with Global Light Ministry, the Kenyan partner. Global Light Ministry facilitated links with the community and helped with implementation, from definition of the problem to the intervention strategy.",KEN,CHL,"LAC,Africa","Chile Fund Against Hunger and Poverty,Ministry of Foreign Affairs (MINREL) of Chile,AGCID,United Nations Development Programme (UNDP) Chile",,,YES,,2021,2022,Poverty and Inequality,SDG2,"SDG5,SDG17"
55,Comprehensive Social Protection Reform Support Programme ,https://my.southsouth-galaxy.org/en/solutions/detail/comprehensive-social-protection-reform-support-programme-1,"The Comprehensive Social Protection Reform Support Programme, implemented by the United Nations Economic and Social Commission for Western Asia (ESCWA), engages the Arab region in South-South cooperation with Latin American countries and institutions, among others, to identify best practices, experiences and expertise available in these regions and use these conceptionally and practically to provide technical support to ESCWA 20 member states. Countries of the Latin America region have been pioneers in developing innovative solutions to effectively and efficiently extend social protection to vulnerable groups and are sharing this knowledge with ESCWA (United Nations Economic and Social Commission for Western Asia) member States, and peer-to-peer experiences, arranged by ESCWA and supported by UNDP. For its implementation, the programme collaborates with the International Policy Centre for Inclusive Growth (IPC-IG), which is jointly established and financed by UNDP Brazil and the Brazilian Government via its Ministry of Foreign Affairs. A particular project aimed to improve social protection systems in Cambodia by providing technical assistance and capacity building to relevant government agencies. Another example: to support EgyptMinistry of Social Solidarity to enhance the effectiveness of its national conditional cash transfer programme, the programme is establishing peer-to-peer learning events, among others, with ChileMinistry of Social Development and Family. Chile national conditional cash transfer programme, Ingresotico Familiar (Family Ethical Income), is considered to be the global best practice for effective referral arrangements and case management of beneficiaries. ","DZA,BHR,EGY,IDN,IRQ,JOR,KWT,LBN,LBY,MAR,MRT,OMN,PSE,PHL,QAT,SAU,SOM,SDN,SYR,TUN,ARE,YEM","BRA,CHL",MENA,"UNDP,ESCWA,International Policy Centre for Inclusive Growth (IPC-IG),Member State representatives",,YES,,YES,2021,2026,Poverty and Inequality,SDG1,"SDG10,SDDG17"
56,Family Planning Accelerator project ,https://my.southsouth-galaxy.org/en/solutions/detail/family-planning-accelerator-project,"This project aimed to increase access to modern family planning methods in developing countries by providing technical assistance and funding to governments and private sector partners. The project focused on expanding access to a range of family planning options, including long-acting reversible contraception, and improving supply chain management to ensure reliable availability of these products. A reciprocal South-South learning exchange took place between Nepal and Sri Lanka using a five-step methodology: preparation, planning, exchange, implementation of lessons learned and dissemination of results. The exchange was facilitated by WHO and Knowledge Success. ","NPL,LKA","NPL,LKA",Asia Pacific,"UNDP,Nepal: Adventist Development and Relief Agency,Ministry of Health and Population,DFID Nepal,Ipas,Knowledge Success,Nepal CRS Company,Nepal Health Sector Support Programme-Department for International Development,Province 5,UNFPA,USAID,Visible Impact,WHO Nepal,Sri Lanka: Family Health Bureau,Family Planning Association of Sri Lanka,UNFPA,WHO Sri Lanka",YES,YES,,,2019,2022,Governance,SDG3,SDG17
57,Solar-powered Electric and Water Supplies ,"https://my.southsouth-galaxy.org/en/solutions/detail/solar-powered-electric-and-water-supplies,https://www.oecd.org/dac/triangular-cooperation/GPI-Report-Triangular-Co-op-in-the-Era-of-the-2030-Agenda.pdf","The ""Accelerating Clean Energy Access to Reduce Inequality (ACCESS)"" project, running from May 2020 to December 2023, involves collaboration between UNDP Indonesia, UNDP Timor Leste, and the Republic of Korea - ROK (KOICA) to improve livelihoods by supporting the poor and most vulnerable communities in these regions to have equal access to essential services, with a particular focus on reducing inequality in electricity and clean water access. The Indonesian government has established a national energy strategy to increase clean energy supply to at least 23% by 2025. Therefore, the Ministry of Energy and Mineral Resources of the Republic of Indonesia has made an official request to KOICA for a solar energy initiative and the Ministry of Public Works of Timor-Leste offered full co-operation including selection of project site. With a funding of USD 18,028,509 from KOICA Indonesia (USD 15,028,509 allocated to Indonesia and USD 3,000,000 for Timor Leste), it aims to impact more than 20,000 people in rural areas of Indonesia and Timor Leste. Notable achievements include the installation of 748 solar lights in 187 households in Timor Leste. As Korea and Indonesia recognise the significance of the beneficiary for successful outcomes and the sustainability of the project, the Indonesian government bears the responsibility of project financing. It will help Indonesia 1) to strengthen its ownership over development assistance, 2) to engage in the decision-making process, 3) to achieve harmonisation of aid, and 4) to enhance accountability.","IDN,TLS",KOR,Asia Pacific,"United Nations Development Programme(UNDP),KOICA offices in Indonesia and Timor-Leste,UNDP,The Ministry of Energy and Minerals Indonesia(MEMR),Human Resources Development Agency of Indonesia(BPSDM)",YES,YES,YES,YES,2022,2023,"Energy,Poverty and Inequality,Gender Equality,Governance",SDG6,"SDG7,SDG13,SDG17,SDG1"
58,Barefoot College Sierra Leone ,https://my.southsouth-galaxy.org/en/solutions/detail/barefoot-college-sierra-leone,"The project trained rural women in Sierra Leone to become solar engineers and provided them with the necessary tools to install and maintain solar systems in their communities.Employing South-South cooperation methods, the project enlisted India and China to provide knowledge and expertise on solar technologies to the Barefoot College. Ghana, Guinea, Liberia, Mali, Sierra Leone, South Africa also benefited from knwoledge sharing. Austria provided fellowship for training.","GHA,GIN,LBR,MLI,SLE,ZAF","IND,CHN,AUT","Asia Pacific,Africa","UNIDO,Sunshine Fellowship Austria,Ministry of Energy of Sierra Leone,Barefoot India,UNDP",,YES,YES,,2012,2022,"Energy,Gender Equality",SDG7,"SDG1,SDG3,SDG4,SDG5,SDG8,SDG9,SDG17"
